À­ÂüÎ»ÒÆ,Count
2921.9,80030
2924.1,80991
2926.29,82071
2928.49,82833
2930.68,83785
2932.86,85223
2935.05,86343
2937.24,87743
2939.42,88573
2941.6,88588
2943.78,87856
2945.95,86095
2948.13,83448
2950.3,80150
2952.47,76446
2954.64,73138
2956.8,69873
2958.97,66861
2961.13,64438
2963.29,61801
2965.44,58841
2967.6,56132
2969.75,53684
2971.9,51431
2974.05,49400
2976.2,47470
2978.34,45336
2980.49,43662
2982.63,41951
2984.76,40324
2986.9,38924
2989.04,37321
2991.17,35846
2993.3,34523
2995.43,33130
2997.55,32160
2999.68,31132
3001.8,29928
3003.92,29113
3006.04,28231
3008.15,27260
3010.26,26603
3012.38,25799
3014.49,25171
3016.59,24582
3018.7,24009
3020.8,23335
3022.9,22911
3025,22443
3027.1,22065
3029.2,21797
3031.29,21662
3033.38,21445
3035.47,21121
3037.56,20932
3039.64,20837
3041.72,20670
3043.81,20626
3045.88,20482
3047.96,20366
3050.04,20319
3052.11,20185
3054.18,20220
3056.25,20182
3058.32,20107
3060.38,19845
3062.44,19451
3064.5,18974
3066.56,18502
3068.62,18112
3070.68,17643
3072.73,17166
3074.78,16749
3076.83,16251
3078.87,15843
3080.92,15540
3082.96,15174
3085,14831
3087.04,14478
3089.08,14306
3091.11,14071
3093.15,13785
3095.18,13610
3097.21,13459
3099.23,13520
3101.26,13464
3103.28,12955
3105.3,12665
3107.32,12532
3109.34,12338
3111.35,12138
3113.37,12052
3115.38,11927
3117.39,11760
3119.39,11680
3121.4,11534
3123.4,11470
3125.4,11385
3127.4,11219
3129.4,11147
3131.4,11061
3133.39,10980
3135.38,10951
3137.37,10854
3139.36,10770
3141.34,10682
3143.33,10611
3145.31,10599
3147.29,10545
3149.27,10524
3151.24,10557
3153.22,10447
3155.19,10461
3157.16,10453
3159.13,10414
3161.09,10398
3163.06,10461
3165.02,10526
3166.98,10519
3168.94,10551
3170.9,10547
3172.85,10597
3174.81,10608
3176.76,10638
3178.71,10663
3180.65,10700
3182.6,10659
3184.54,10752
3186.48,10775
3188.42,10788
3190.36,10778
3192.29,10777
3194.23,10724
3196.16,10675
3198.09,10678
3200.02,10742
3201.94,10699
3203.87,10745
3205.79,10706
3207.71,10721
3209.63,10776
3211.55,10706
3213.46,10723
3215.37,10802
3217.29,10759
3219.19,10753
3221.1,10765
3223.01,10833
3224.91,10742
3226.81,10764
3228.71,10791
3230.61,10775
3232.51,10843
3234.4,10756
3236.29,10775
3238.18,10833
3240.07,10783
3241.96,10829
3243.84,10773
3245.73,10797
3247.61,10796
3249.49,10792
3251.36,10727
3253.24,10666
3255.11,10618
3256.98,10500
3258.85,10441
3260.72,10352
3262.59,10319
3264.45,10204
3266.32,10026
3268.18,9976
3270.04,9756
3271.89,9694
3273.75,9565
3275.6,9458
3277.45,9249
3279.3,9192
3281.15,9026
3283,8862
3284.84,8699
3286.68,8455
3288.52,8359
3290.36,8297
3292.2,8389
3294.03,9183
3295.87,9548
3297.7,8249
3299.53,7440
3301.36,7127
3303.18,6975
3305.01,6805
3306.83,6693
3308.65,6557
3310.47,6406
3312.28,6118
3314.1,5971
3315.91,5897
3317.72,5759
3319.53,5781
3321.34,5703
3323.15,5778
3324.95,5727
3326.75,5637
3328.55,5641
3330.35,5055
