wavenumber,intensity
389.099853372434,0.018705448135733604
392.19590615835773,0.01903248392045498
395.29195894428153,0.017057400196790695
398.3880117302052,0.022757379338145256
401.484064516129,0.02000459097325802
404.58011730205277,0.015664661303162575
407.6761700879765,0.012261415831744671
410.77222287390026,0.016873741522431374
413.868275659824,0.015530498698353767
416.9643284457478,0.009249876253306866
420.0603812316715,0.004079789388924837
423.1564340175953,0.006239020265638828
426.252486803519,0.007607898209244013
429.3485395894428,0.0
432.4445923753666,0.0
435.5406451612903,0.0
438.6366979472141,0.0
441.7327507331378,0.0
444.8288035190616,0.0
447.92485630498527,0.0
451.0209090909091,0.0
454.11696187683276,0.0
457.21301466275656,0.0
460.30906744868037,0.0
463.40512023460406,0.0
466.50117302052786,0.0
469.59722580645155,0.0
472.69327859237535,0.0
475.78933137829904,0.0
478.88538416422284,0.0
481.98143695014664,0.0
485.07748973607033,0.0
488.17354252199414,0.0
491.2695953079178,0.0
494.3656480938416,0.0
497.4617008797653,0.0
500.5577536656891,0.0
503.6538064516129,0.0
506.7498592375366,0.0
509.8459120234604,0.0
512.9419648093841,0.0
516.0380175953079,0.0
519.1340703812316,0.0
522.2301231671554,0.0
525.3261759530792,0.0
528.4222287390029,0.0
531.5182815249267,0.0
534.6143343108504,0.0
537.7103870967742,0.0
540.8064398826979,0.0
543.9024926686217,0.0
546.9985454545454,0.0
550.0945982404692,0.0
553.190651026393,0.0
556.2867038123167,0.0
559.3827565982405,0.0
562.4788093841642,0.0
565.574862170088,0.0
568.6709149560116,0.0
571.7669677419354,0.0
574.8630205278592,0.0
577.9590733137829,0.0
581.0551260997067,0.0
584.1511788856304,0.0
587.2472316715542,0.0
590.3432844574779,0.0
593.4393372434017,0.0
596.5353900293255,0.0
599.6314428152492,0.0
602.727495601173,0.0
605.8235483870967,0.0
608.9196011730205,0.0
612.0156539589442,0.0
615.111706744868,0.0
618.2077595307918,0.0
621.3038123167155,0.0
624.3998651026393,0.0
627.495917888563,0.0
630.5919706744868,0.0
633.6880234604105,0.0
636.7840762463343,0.0
639.880129032258,0.0
642.9761818181818,0.0
646.0722346041056,0.0
649.1682873900293,0.0
652.2643401759531,0.0
655.3603929618768,0.0
658.4564457478006,0.0
661.5524985337242,0.0
